,spanish_men,spanish_women,spanish_total,foreign_men,foreign_women,foreign_total,men_total,women_total,total,district,date,year
20 - 24,5807,5505,11312,2402,2495,4897,8209,8000,16209,LATINA / TODOS,01-01-2006,2006
25 - 29,8161,7699,15860,3998,3708,7706,12159,11407,23566,LATINA / TODOS,01-01-2006,2006
30 - 34,9319,8836,18155,3962,3344,7306,13281,12180,25461,LATINA / TODOS,01-01-2006,2006
35 - 39,8430,8132,16562,3073,2580,5653,11503,10712,22215,LATINA / TODOS,01-01-2006,2006
40 - 44,7412,7898,15310,2161,1986,4147,9573,9884,19457,LATINA / TODOS,01-01-2006,2006
45 - 49,6617,7119,13736,1368,1323,2691,7985,8442,16427,LATINA / TODOS,01-01-2006,2006
50 - 54,5376,6247,11623,768,871,1639,6144,7118,13262,LATINA / TODOS,01-01-2006,2006
55 - 59,5676,7723,13399,371,518,889,6047,8241,14288,LATINA / TODOS,01-01-2006,2006
60 - 64,7063,9321,16384,157,277,434,7220,9598,16818,LATINA / TODOS,01-01-2006,2006
65 - 69,7138,8256,15394,106,199,305,7244,8455,15699,LATINA / TODOS,01-01-2006,2006
70 - 74,6370,7792,14162,68,128,196,6438,7920,14358,LATINA / TODOS,01-01-2006,2006
75 - 79,4564,6488,11052,57,81,138,4621,6569,11190,LATINA / TODOS,01-01-2006,2006
80 - 84,2750,4639,7389,28,39,67,2778,4678,7456,LATINA / TODOS,01-01-2006,2006
85 - 89,1129,2543,3672,8,22,30,1137,2565,3702,LATINA / TODOS,01-01-2006,2006
90 - 94,416,1131,1547,3,11,14,419,1142,1561,LATINA / TODOS,01-01-2006,2006
95 - 99,93,291,384,0,4,4,93,295,388,LATINA / TODOS,01-01-2006,2006
100 o más,10,51,61,0,3,3,10,54,64,LATINA / TODOS,01-01-2006,2006
No Consta,3,3,6,5,4,9,8,7,15,LATINA / TODOS,01-01-2006,2006
Total,91230,104165,195395,27796,25915,53711,119026,130080,249106,CARABANCHEL / TODOS,01-01-2006,2006
0 - 4,4416,4239,8655,1264,1147,2411,5680,5386,11066,CARABANCHEL / TODOS,01-01-2006,2006
5 - 9,3634,3428,7062,1198,1200,2398,4832,4628,9460,CARABANCHEL / TODOS,01-01-2006,2006
10 - 14,3583,3488,7071,1370,1315,2685,4953,4803,9756,CARABANCHEL / TODOS,01-01-2006,2006
15 - 19,4016,3759,7775,1394,1388,2782,5410,5147,10557,CARABANCHEL / TODOS,01-01-2006,2006
20 - 24,4908,4897,9805,2906,2980,5886,7814,7877,15691,CARABANCHEL / TODOS,01-01-2006,2006
25 - 29,6965,7052,14017,4960,4443,9403,11925,11495,23420,CARABANCHEL / TODOS,01-01-2006,2006
30 - 34,8574,8321,16895,4689,3954,8643,13263,12275,25538,CARABANCHEL / TODOS,01-01-2006,2006
35 - 39,7723,7804,15527,3936,3131,7067,11659,10935,22594,CARABANCHEL / TODOS,01-01-2006,2006
40 - 44,7148,7344,14492,2619,2342,4961,9767,9686,19453,CARABANCHEL / TODOS,01-01-2006,2006
45 - 49,6142,6526,12668,1659,1610,3269,7801,8136,15937,CARABANCHEL / TODOS,01-01-2006,2006
50 - 54,4944,5774,10718,920,942,1862,5864,6716,12580,CARABANCHEL / TODOS,01-01-2006,2006
55 - 59,5147,6235,11382,397,539,936,5544,6774,12318,CARABANCHEL / TODOS,01-01-2006,2006
60 - 64,5061,6519,11580,194,339,533,5255,6858,12113,CARABANCHEL / TODOS,01-01-2006,2006
65 - 69,5127,6640,11767,107,222,329,5234,6862,12096,CARABANCHEL / TODOS,01-01-2006,2006
70 - 74,5478,7373,12851,90,180,270,5568,7553,13121,CARABANCHEL / TODOS,01-01-2006,2006
75 - 79,4216,6336,10552,54,96,150,4270,6432,10702,CARABANCHEL / TODOS,01-01-2006,2006
80 - 84,2632,4597,7229,26,61,87,2658,4658,7316,CARABANCHEL / TODOS,01-01-2006,2006
85 - 89,1041,2418,3459,12,11,23,1053,2429,3482,CARABANCHEL / TODOS,01-01-2006,2006
90 - 94,373,1113,1486,0,7,7,373,1120,1493,CARABANCHEL / TODOS,01-01-2006,2006
95 - 99,85,254,339,0,2,2,85,256,341,CARABANCHEL / TODOS,01-01-2006,2006
100 o más,13,46,59,1,3,4,14,49,63,CARABANCHEL / TODOS,01-01-2006,2006
No Consta,4,2,6,0,3,3,4,5,9,CARABANCHEL / TODOS,01-01-2006,2006
Total,50973,56964,107937,15137,14259,29396,66110,71223,137333,USERA / TODOS,01-01-2006,2006
0 - 4,2880,2740,5620,723,686,1409,3603,3426,7029,USERA / TODOS,01-01-2006,2006
5 - 9,2330,2217,4547,688,681,1369,3018,2898,5916,USERA / TODOS,01-01-2006,2006
10 - 14,2143,2024,4167,736,677,1413,2879,2701,5580,USERA / TODOS,01-01-2006,2006
15 - 19,2366,2318,4684,854,761,1615,3220,3079,6299,USERA / TODOS,01-01-2006,2006
20 - 24,2880,2786,5666,1604,1615,3219,4484,4401,8885,USERA / TODOS,01-01-2006,2006
25 - 29,3692,3819,7511,2642,2521,5163,6334,6340,12674,USERA / TODOS,01-01-2006,2006
30 - 34,4845,4668,9513,2534,2139,4673,7379,6807,14186,USERA / TODOS,01-01-2006,2006
35 - 39,4551,4310,8861,2143,1807,3950,6694,6117,12811,USERA / TODOS,01-01-2006,2006
40 - 44,4065,4228,8293,1392,1282,2674,5457,5510,10967,USERA / TODOS,01-01-2006,2006
45 - 49,3563,3622,7185,917,805,1722,4480,4427,8907,USERA / TODOS,01-01-2006,2006
50 - 54,2739,2956,5695,471,483,954,3210,3439,6649,USERA / TODOS,01-01-2006,2006
55 - 59,2591,2976,5567,177,324,501,2768,3300,6068,USERA / TODOS,01-01-2006,2006
60 - 64,2309,2805,5114,99,186,285,2408,2991,5399,USERA / TODOS,01-01-2006,2006
65 - 69,2356,3337,5693,67,113,180,2423,3450,5873,USERA / TODOS,01-01-2006,2006
70 - 74,2994,4109,7103,44,81,125,3038,4190,7228,USERA / TODOS,01-01-2006,2006
75 - 79,2469,3649,6118,31,62,93,2500,3711,6211,USERA / TODOS,01-01-2006,2006
80 - 84,1436,2485,3921,10,15,25,1446,2500,3946,USERA / TODOS,01-01-2006,2006
85 - 89,548,1278,1826,1,15,16,549,1293,1842,USERA / TODOS,01-01-2006,2006
90 - 94,175,503,678,2,5,7,177,508,685,USERA / TODOS,01-01-2006,2006
95 - 99,40,122,162,0,0,0,40,122,162,USERA / TODOS,01-01-2006,2006
100 o más,1,12,13,0,0,0,1,12,13,USERA / TODOS,01-01-2006,2006
No Consta,0,0,0,2,1,3,2,1,3,USERA / TODOS,01-01-2006,2006
Total,97047,106372,203419,22073,20235,42308,119120,126607,245727,PUENTE DE VALLECAS / TODOS,01-01-2006,2006
0 - 4,4912,4653,9565,1110,1041,2151,6022,5694,11716,PUENTE DE VALLECAS / TODOS,01-01-2006,2006
5 - 9,4681,4429,9110,1023,959,1982,5704,5388,11092,PUENTE DE VALLECAS / TODOS,01-01-2006,2006
10 - 14,4802,4411,9213,1077,996,2073,5879,5407,11286,PUENTE DE VALLECAS / TODOS,01-01-2006,2006
15 - 19,5337,4983,10320,1070,1123,2193,6407,6106,12513,PUENTE DE VALLECAS / TODOS,01-01-2006,2006
20 - 24,6027,5789,11816,2339,2340,4679,8366,8129,16495,PUENTE DE VALLECAS / TODOS,01-01-2006,2006
25 - 29,7215,6913,14128,3872,3510,7382,11087,10423,21510,PUENTE DE VALLECAS / TODOS,01-01-2006,2006
30 - 34,7700,7293,14993,3977,3148,7125,11677,10441,22118,PUENTE DE VALLECAS / TODOS,01-01-2006,2006
35 - 39,8141,8254,16395,2971,2408,5379,11112,10662,21774,PUENTE DE VALLECAS / TODOS,01-01-2006,2006
40 - 44,8548,8926,17474,2022,1767,3789,10570,10693,21263,PUENTE DE VALLECAS / TODOS,01-01-2006,2006
45 - 49,7610,7793,15403,1207,1120,2327,8817,8913,17730,PUENTE DE VALLECAS / TODOS,01-01-2006,2006
50 - 54,5448,5656,11104,715,707,1422,6163,6363,12526,PUENTE DE VALLECAS / TODOS,01-01-2006,2006
55 - 59,4826,5383,10209,284,450,734,5110,5833,10943,PUENTE DE VALLECAS / TODOS,01-01-2006,2006
60 - 64,4341,5140,9481,156,253,409,4497,5393,9890,PUENTE DE VALLECAS / TODOS,01-01-2006,2006
65 - 69,4499,6037,10536,107,163,270,4606,6200,10806,PUENTE DE VALLECAS / TODOS,01-01-2006,2006
70 - 74,5206,7068,12274,71,114,185,5277,7182,12459,PUENTE DE VALLECAS / TODOS,01-01-2006,2006
75 - 79,4158,6341,10499,38,77,115,4196,6418,10614,PUENTE DE VALLECAS / TODOS,01-01-2006,2006
80 - 84,2371,4172,6543,17,33,50,2388,4205,6593,PUENTE DE VALLECAS / TODOS,01-01-2006,2006
85 - 89,871,2108,2979,6,16,22,877,2124,3001,PUENTE DE VALLECAS / TODOS,01-01-2006,2006
90 - 94,288,806,1094,5,6,11,293,812,1105,PUENTE DE VALLECAS / TODOS,01-01-2006,2006
95 - 99,52,190,242,1,1,2,53,191,244,PUENTE DE VALLECAS / TODOS,01-01-2006,2006
100 o más,13,27,40,0,0,0,13,27,40,PUENTE DE VALLECAS / TODOS,01-01-2006,2006
No Consta,1,0,1,5,3,8,6,3,9,PUENTE DE VALLECAS / TODOS,01-01-2006,2006
Total,45491,51188,96679,5029,5422,10451,50520,56610,107130,MORATALAZ / TODOS,01-01-2006,2006
0 - 4,2129,2124,4253,196,244,440,2325,2368,4693,MORATALAZ / TODOS,01-01-2006,2006
5 - 9,2143,2081,4224,232,219,451,2375,2300,4675,MORATALAZ / TODOS,01-01-2006,2006
10 - 14,2246,2070,4316,211,253,464,2457,2323,4780,MORATALAZ / TODOS,01-01-2006,2006
15 - 19,2141,2038,4179,306,266,572,2447,2304,4751,MORATALAZ / TODOS,01-01-2006,2006
20 - 24,2591,2415,5006,497,597,1094,3088,3012,6100,MORATALAZ / TODOS,01-01-2006,2006
25 - 29,3180,3037,6217,877,970,1847,4057,4007,8064,MORATALAZ / TODOS,01-01-2006,2006
30 - 34,3787,3678,7465,884,790,1674,4671,4468,9139,MORATALAZ / TODOS,01-01-2006,2006
35 - 39,3877,4136,8013,711,658,1369,4588,4794,9382,MORATALAZ / TODOS,01-01-2006,2006
40 - 44,3840,4053,7893,427,488,915,4267,4541,8808,MORATALAZ / TODOS,01-01-2006,2006
45 - 49,3209,3410,6619,299,323,622,3508,3733,7241,MORATALAZ / TODOS,01-01-2006,2006
50 - 54,2405,2857,5262,149,214,363,2554,3071,5625,MORATALAZ / TODOS,01-01-2006,2006
55 - 59,2305,2975,5280,80,135,215,2385,3110,5495,MORATALAZ / TODOS,01-01-2006,2006
60 - 64,2633,3401,6034,47,75,122,2680,3476,6156,MORATALAZ / TODOS,01-01-2006,2006
65 - 69,2687,3621,6308,51,77,128,2738,3698,6436,MORATALAZ / TODOS,01-01-2006,2006
70 - 74,2950,3565,6515,28,51,79,2978,3616,6594,MORATALAZ / TODOS,01-01-2006,2006
75 - 79,1884,2683,4567,18,27,45,1902,2710,4612,MORATALAZ / TODOS,01-01-2006,2006
80 - 84,943,1591,2534,9,18,27,952,1609,2561,MORATALAZ / TODOS,01-01-2006,2006
85 - 89,363,874,1237,7,9,16,370,883,1253,MORATALAZ / TODOS,01-01-2006,2006
90 - 94,147,440,587,0,4,4,147,444,591,MORATALAZ / TODOS,01-01-2006,2006
95 - 99,30,116,146,0,2,2,30,118,148,MORATALAZ / TODOS,01-01-2006,2006
100 o más,1,22,23,0,0,0,1,22,23,MORATALAZ / TODOS,01-01-2006,2006
No Consta,0,1,1,0,2,2,0,3,3,MORATALAZ / TODOS,01-01-2006,2006
Total,88971,104366,193337,19713,21342,41055,108684,125708,234392,CIUDAD LINEAL / TODOS,01-01-2006,2006
0 - 4,4330,4046,8376,939,891,1830,5269,4937,10206,CIUDAD LINEAL / TODOS,01-01-2006,2006
5 - 9,4031,3755,7786,931,908,1839,4962,4663,9625,CIUDAD LINEAL / TODOS,01-01-2006,2006
10 - 14,3872,3598,7470,1039,982,2021,4911,4580,9491,CIUDAD LINEAL / TODOS,01-01-2006,2006
15 - 19,4046,3964,8010,1061,1047,2108,5107,5011,10118,CIUDAD LINEAL / TODOS,01-01-2006,2006
20 - 24,4829,4798,9627,1798,2131,3929,6627,6929,13556,CIUDAD LINEAL / TODOS,01-01-2006,2006
25 - 29,6393,5896,12289,3198,3589,6787,9591,9485,19076,CIUDAD LINEAL / TODOS,01-01-2006,2006
30 - 34,7175,7272,14447,3234,3328,6562,10409,10600,21009,CIUDAD LINEAL / TODOS,01-01-2006,2006
35 - 39,7189,7691,14880,2717,2529,5246,9906,10220,20126,CIUDAD LINEAL / TODOS,01-01-2006,2006
40 - 44,7080,8072,15152,1895,2001,3896,8975,10073,19048,CIUDAD LINEAL / TODOS,01-01-2006,2006
45 - 49,6446,7404,13850,1242,1424,2666,7688,8828,16516,CIUDAD LINEAL / TODOS,01-01-2006,2006
50 - 54,5207,6346,11553,694,932,1626,5901,7278,13179,CIUDAD LINEAL / TODOS,01-01-2006,2006
55 - 59,5136,6464,11600,380,591,971,5516,7055,12571,CIUDAD LINEAL / TODOS,01-01-2006,2006
60 - 64,4932,6537,11469,204,326,530,5136,6863,11999,CIUDAD LINEAL / TODOS,01-01-2006,2006
65 - 69,4668,6530,11198,142,240,382,4810,6770,11580,CIUDAD LINEAL / TODOS,01-01-2006,2006
70 - 74,5383,7434,12817,104,182,286,5487,7616,13103,CIUDAD LINEAL / TODOS,01-01-2006,2006
75 - 79,4290,6313,10603,73,94,167,4363,6407,10770,CIUDAD LINEAL / TODOS,01-01-2006,2006
80 - 84,2542,4558,7100,42,77,119,2584,4635,7219,CIUDAD LINEAL / TODOS,01-01-2006,2006
85 - 89,962,2346,3308,5,38,43,967,2384,3351,CIUDAD LINEAL / TODOS,01-01-2006,2006
90 - 94,387,1049,1436,8,21,29,395,1070,1465,CIUDAD LINEAL / TODOS,01-01-2006,2006
95 - 99,63,246,309,1,4,5,64,250,314,CIUDAD LINEAL / TODOS,01-01-2006,2006
100 o más,7,43,50,0,2,2,7,45,52,CIUDAD LINEAL / TODOS,01-01-2006,2006
No Consta,3,4,7,6,5,11,9,9,18,CIUDAD LINEAL / TODOS,01-01-2006,2006
Total,68144,73653,141797,8411,9596,18007,76555,83249,159804,HORTALEZA / TODOS,01-01-2006,2006
0 - 4,3489,3417,6906,362,370,732,3851,3787,7638,HORTALEZA / TODOS,01-01-2006,2006
5 - 9,3414,3240,6654,491,506,997,3905,3746,7651,HORTALEZA / TODOS,01-01-2006,2006
10 - 14,3398,3214,6612,523,526,1049,3921,3740,7661,HORTALEZA / TODOS,01-01-2006,2006
15 - 19,3578,3347,6925,481,492,973,4059,3839,7898,HORTALEZA / TODOS,01-01-2006,2006
20 - 24,4115,3957,8072,662,873,1535,4777,4830,9607,HORTALEZA / TODOS,01-01-2006,2006
25 - 29,5513,5228,10741,1089,1385,2474,6602,6613,13215,HORTALEZA / TODOS,01-01-2006,2006
30 - 34,5920,5860,11780,1226,1395,2621,7146,7255,14401,HORTALEZA / TODOS,01-01-2006,2006
35 - 39,5502,5679,11181,1152,1164,2316,6654,6843,13497,HORTALEZA / TODOS,01-01-2006,2006
40 - 44,5616,6108,11724,865,918,1783,6481,7026,13507,HORTALEZA / TODOS,01-01-2006,2006
45 - 49,5021,5296,10317,593,689,1282,5614,5985,11599,HORTALEZA / TODOS,01-01-2006,2006
50 - 54,4078,4636,8714,378,481,859,4456,5117,9573,HORTALEZA / TODOS,01-01-2006,2006
55 - 59,4208,5114,9322,244,293,537,4452,5407,9859,HORTALEZA / TODOS,01-01-2006,2006
60 - 64,4291,4746,9037,132,193,325,4423,4939,9362,HORTALEZA / TODOS,01-01-2006,2006
65 - 69,3282,3742,7024,90,129,219,3372,3871,7243,HORTALEZA / TODOS,01-01-2006,2006
70 - 74,3015,3596,6611,46,70,116,3061,3666,6727,HORTALEZA / TODOS,01-01-2006,2006
75 - 79,2006,2817,4823,38,56,94,2044,2873,4917,HORTALEZA / TODOS,01-01-2006,2006
80 - 84,1126,1942,3068,23,25,48,1149,1967,3116,HORTALEZA / TODOS,01-01-2006,2006
85 - 89,379,1065,1444,7,16,23,386,1081,1467,HORTALEZA / TODOS,01-01-2006,2006
90 - 94,167,495,662,1,4,5,168,499,667,HORTALEZA / TODOS,01-01-2006,2006
95 - 99,23,129,152,5,6,11,28,135,163,HORTALEZA / TODOS,01-01-2006,2006
100 o más,2,23,25,1,3,4,3,26,29,HORTALEZA / TODOS,01-01-2006,2006
No Consta,1,2,3,2,2,4,3,4,7,HORTALEZA / TODOS,01-01-2006,2006
Total,56770,60745,117515,16224,14489,30713,72994,75234,148228,VILLAVERDE / TODOS,01-01-2006,2006
0 - 4,3384,3169,6553,872,814,1686,4256,3983,8239,VILLAVERDE / TODOS,01-01-2006,2006
5 - 9,2577,2583,5160,796,788,1584,3373,3371,6744,VILLAVERDE / TODOS,01-01-2006,2006
10 - 14,2494,2369,4863,774,860,1634,3268,3229,6497,VILLAVERDE / TODOS,01-01-2006,2006
15 - 19,2775,2684,5459,830,909,1739,3605,3593,7198,VILLAVERDE / TODOS,01-01-2006,2006
20 - 24,3282,3139,6421,1647,1672,3319,4929,4811,9740,VILLAVERDE / TODOS,01-01-2006,2006
25 - 29,4410,4302,8712,2871,2443,5314,7281,6745,14026,VILLAVERDE / TODOS,01-01-2006,2006
30 - 34,5379,5302,10681,2770,2185,4955,8149,7487,15636,VILLAVERDE / TODOS,01-01-2006,2006
35 - 39,5061,5039,10100,2193,1672,3865,7254,6711,13965,VILLAVERDE / TODOS,01-01-2006,2006
40 - 44,4939,4709,9648,1535,1116,2651,6474,5825,12299,VILLAVERDE / TODOS,01-01-2006,2006
45 - 49,3778,3748,7526,968,784,1752,4746,4532,9278,VILLAVERDE / TODOS,01-01-2006,2006
50 - 54,2790,2945,5735,458,500,958,3248,3445,6693,VILLAVERDE / TODOS,01-01-2006,2006
55 - 59,2700,3189,5889,247,273,520,2947,3462,6409,VILLAVERDE / TODOS,01-01-2006,2006
60 - 64,2884,3491,6375,98,168,266,2982,3659,6641,VILLAVERDE / TODOS,01-01-2006,2006
65 - 69,3048,3805,6853,67,138,205,3115,3943,7058,VILLAVERDE / TODOS,01-01-2006,2006
70 - 74,3290,4055,7345,52,85,137,3342,4140,7482,VILLAVERDE / TODOS,01-01-2006,2006
75 - 79,2293,3001,5294,29,50,79,2322,3051,5373,VILLAVERDE / TODOS,01-01-2006,2006
80 - 84,1152,1877,3029,7,20,27,1159,1897,3056,VILLAVERDE / TODOS,01-01-2006,2006
85 - 89,362,841,1203,6,8,14,368,849,1217,VILLAVERDE / TODOS,01-01-2006,2006
90 - 94,137,378,515,3,2,5,140,380,520,VILLAVERDE / TODOS,01-01-2006,2006
95 - 99,32,99,131,0,0,0,32,99,131,VILLAVERDE / TODOS,01-01-2006,2006
100 o más,3,20,23,1,0,1,4,20,24,VILLAVERDE / TODOS,01-01-2006,2006
No Consta,0,0,0,0,2,2,0,2,2,VILLAVERDE / TODOS,01-01-2006,2006
Total,28086,29565,57651,5010,4679,9689,33096,34244,67340,VILLA DE VALLECAS / TODOS,01-01-2006,2006
0 - 4,1557,1370,2927,290,302,592,1847,1672,3519,VILLA DE VALLECAS / TODOS,01-01-2006,2006
5 - 9,1433,1371,2804,284,275,559,1717,1646,3363,VILLA DE VALLECAS / TODOS,01-01-2006,2006
10 - 14,1535,1387,2922,253,228,481,1788,1615,3403,VILLA DE VALLECAS / TODOS,01-01-2006,2006
15 - 19,1732,1611,3343,311,265,576,2043,1876,3919,VILLA DE VALLECAS / TODOS,01-01-2006,2006
20 - 24,1891,1902,3793,528,590,1118,2419,2492,4911,VILLA DE VALLECAS / TODOS,01-01-2006,2006
25 - 29,2440,2394,4834,847,772,1619,3287,3166,6453,VILLA DE VALLECAS / TODOS,01-01-2006,2006
30 - 34,2412,2392,4804,787,683,1470,3199,3075,6274,VILLA DE VALLECAS / TODOS,01-01-2006,2006
35 - 39,2235,2282,4517,662,521,1183,2897,2803,5700,VILLA DE VALLECAS / TODOS,01-01-2006,2006
40 - 44,2322,2517,4839,407,358,765,2729,2875,5604,VILLA DE VALLECAS / TODOS,01-01-2006,2006
45 - 49,2235,2205,4440,313,262,575,2548,2467,5015,VILLA DE VALLECAS / TODOS,01-01-2006,2006
50 - 54,1747,1953,3700,171,173,344,1918,2126,4044,VILLA DE VALLECAS / TODOS,01-01-2006,2006
55 - 59,1791,1830,3621,65,85,150,1856,1915,3771,VILLA DE VALLECAS / TODOS,01-01-2006,2006
60 - 64,1263,1412,2675,34,58,92,1297,1470,2767,VILLA DE VALLECAS / TODOS,01-01-2006,2006
65 - 69,1124,1354,2478,23,39,62,1147,1393,2540,VILLA DE VALLECAS / TODOS,01-01-2006,2006
70 - 74,1075,1331,2406,16,30,46,1091,1361,2452,VILLA DE VALLECAS / TODOS,01-01-2006,2006
75 - 79,712,994,1706,9,17,26,721,1011,1732,VILLA DE VALLECAS / TODOS,01-01-2006,2006
80 - 84,387,727,1114,7,12,19,394,739,1133,VILLA DE VALLECAS / TODOS,01-01-2006,2006
85 - 89,138,336,474,3,4,7,141,340,481,VILLA DE VALLECAS / TODOS,01-01-2006,2006
90 - 94,48,159,207,0,4,4,48,163,211,VILLA DE VALLECAS / TODOS,01-01-2006,2006
95 - 99,9,34,43,0,0,0,9,34,43,VILLA DE VALLECAS / TODOS,01-01-2006,2006
100 o más,0,4,4,0,0,0,0,4,4,VILLA DE VALLECAS / TODOS,01-01-2006,2006
No Consta,0,0,0,0,1,1,0,1,1,VILLA DE VALLECAS / TODOS,01-01-2006,2006
Total,28537,29095,57632,4667,4630,9297,33204,33725,66929,VICALVARO / TODOS,01-01-2006,2006
0 - 4,1981,1936,3917,238,218,456,2219,2154,4373,VICALVARO / TODOS,01-01-2006,2006
5 - 9,1694,1538,3232,227,224,451,1921,1762,3683,VICALVARO / TODOS,01-01-2006,2006
10 - 14,1477,1400,2877,220,216,436,1697,1616,3313,VICALVARO / TODOS,01-01-2006,2006
15 - 19,1407,1275,2682,244,254,498,1651,1529,3180,VICALVARO / TODOS,01-01-2006,2006
20 - 24,1417,1315,2732,476,553,1029,1893,1868,3761,VICALVARO / TODOS,01-01-2006,2006
25 - 29,1962,2090,4052,837,826,1663,2799,2916,5715,VICALVARO / TODOS,01-01-2006,2006
30 - 34,3297,3248,6545,769,710,1479,4066,3958,8024,VICALVARO / TODOS,01-01-2006,2006
35 - 39,3158,3089,6247,605,509,1114,3763,3598,7361,VICALVARO / TODOS,01-01-2006,2006
40 - 44,2820,2702,5522,453,411,864,3273,3113,6386,VICALVARO / TODOS,01-01-2006,2006
45 - 49,2057,1983,4040,282,275,557,2339,2258,4597,VICALVARO / TODOS,01-01-2006,2006
50 - 54,1285,1303,2588,148,155,303,1433,1458,2891,VICALVARO / TODOS,01-01-2006,2006
55 - 59,1107,1327,2434,68,102,170,1175,1429,2604,VICALVARO / TODOS,01-01-2006,2006
60 - 64,1226,1496,2722,37,63,100,1263,1559,2822,VICALVARO / TODOS,01-01-2006,2006
65 - 69,1374,1434,2808,21,43,64,1395,1477,2872,VICALVARO / TODOS,01-01-2006,2006
70 - 74,1132,1174,2306,17,41,58,1149,1215,2364,VICALVARO / TODOS,01-01-2006,2006
75 - 79,658,857,1515,16,16,32,674,873,1547,VICALVARO / TODOS,01-01-2006,2006
80 - 84,325,524,849,4,9,13,329,533,862,VICALVARO / TODOS,01-01-2006,2006
85 - 89,113,257,370,4,4,8,117,261,378,VICALVARO / TODOS,01-01-2006,2006
90 - 94,39,118,157,1,1,2,40,119,159,VICALVARO / TODOS,01-01-2006,2006
95 - 99,6,25,31,0,0,0,6,25,31,VICALVARO / TODOS,01-01-2006,2006
100 o más,1,4,5,0,0,0,1,4,5,VICALVARO / TODOS,01-01-2006,2006
No Consta,1,0,1,0,0,0,1,0,1,VICALVARO / TODOS,01-01-2006,2006
Total,64013,69465,133478,10350,9135,19485,74363,78600,152963,SAN BLAS-CANILLEJAS / TODOS,01-01-2006,2006
0 - 4,4132,3857,7989,365,367,732,4497,4224,8721,SAN BLAS-CANILLEJAS / TODOS,01-01-2006,2006
5 - 9,3228,3102,6330,435,431,866,3663,3533,7196,SAN BLAS-CANILLEJAS / TODOS,01-01-2006,2006
10 - 14,2931,2782,5713,456,469,925,3387,3251,6638,SAN BLAS-CANILLEJAS / TODOS,01-01-2006,2006
15 - 19,2995,2856,5851,518,508,1026,3513,3364,6877,SAN BLAS-CANILLEJAS / TODOS,01-01-2006,2006
20 - 24,3378,3081,6459,1043,985,2028,4421,4066,8487,SAN BLAS-CANILLEJAS / TODOS,01-01-2006,2006
25 - 29,4090,3986,8076,1866,1558,3424,5956,5544,11500,SAN BLAS-CANILLEJAS / TODOS,01-01-2006,2006
30 - 34,5533,5658,11191,1775,1445,3220,7308,7103,14411,SAN BLAS-CANILLEJAS / TODOS,01-01-2006,2006
35 - 39,6747,6553,13300,1507,1119,2626,8254,7672,15926,SAN BLAS-CANILLEJAS / TODOS,01-01-2006,2006
40 - 44,6135,6134,12269,941,827,1768,7076,6961,14037,SAN BLAS-CANILLEJAS / TODOS,01-01-2006,2006
45 - 49,4957,4995,9952,637,521,1158,5594,5516,11110,SAN BLAS-CANILLEJAS / TODOS,01-01-2006,2006
50 - 54,3463,3619,7082,358,364,722,3821,3983,7804,SAN BLAS-CANILLEJAS / TODOS,01-01-2006,2006
55 - 59,3014,3264,6278,226,239,465,3240,3503,6743,SAN BLAS-CANILLEJAS / TODOS,01-01-2006,2006
60 - 64,2668,3043,5711,88,114,202,2756,3157,5913,SAN BLAS-CANILLEJAS / TODOS,01-01-2006,2006
65 - 69,2565,3680,6245,62,81,143,2627,3761,6388,SAN BLAS-CANILLEJAS / TODOS,01-01-2006,2006
70 - 74,3320,4526,7846,33,55,88,3353,4581,7934,SAN BLAS-CANILLEJAS / TODOS,01-01-2006,2006
75 - 79,2733,3982,6715,20,35,55,2753,4017,6770,SAN BLAS-CANILLEJAS / TODOS,01-01-2006,2006
80 - 84,1435,2628,4063,10,8,18,1445,2636,4081,SAN BLAS-CANILLEJAS / TODOS,01-01-2006,2006
85 - 89,501,1123,1624,5,4,9,506,1127,1633,SAN BLAS-CANILLEJAS / TODOS,01-01-2006,2006
90 - 94,165,444,609,2,2,4,167,446,613,SAN BLAS-CANILLEJAS / TODOS,01-01-2006,2006
95 - 99,18,133,151,2,0,2,20,133,153,SAN BLAS-CANILLEJAS / TODOS,01-01-2006,2006
100 o más,5,17,22,0,0,0,5,17,22,SAN BLAS-CANILLEJAS / TODOS,01-01-2006,2006
No Consta,0,2,2,1,3,4,1,5,6,SAN BLAS-CANILLEJAS / TODOS,01-01-2006,2006
Total,19136,19407,38543,2491,2658,5149,21627,22065,43692,BARAJAS / TODOS,01-01-2006,2006
0 - 4,1323,1159,2482,112,118,230,1435,1277,2712,BARAJAS / TODOS,01-01-2006,2006
5 - 9,979,893,1872,125,102,227,1104,995,2099,BARAJAS / TODOS,01-01-2006,2006
10 - 14,872,786,1658,106,137,243,978,923,1901,BARAJAS / TODOS,01-01-2006,2006
15 - 19,876,886,1762,128,150,278,1004,1036,2040,BARAJAS / TODOS,01-01-2006,2006
20 - 24,1230,1056,2286,236,252,488,1466,1308,2774,BARAJAS / TODOS,01-01-2006,2006
25 - 29,1702,1505,3207,341,419,760,2043,1924,3967,BARAJAS / TODOS,01-01-2006,2006
30 - 34,1939,1967,3906,391,388,779,2330,2355,4685,BARAJAS / TODOS,01-01-2006,2006
35 - 39,1732,1732,3464,349,345,694,2081,2077,4158,BARAJAS / TODOS,01-01-2006,2006
40 - 44,1528,1605,3133,266,250,516,1794,1855,3649,BARAJAS / TODOS,01-01-2006,2006
